game_id,posteam,rush_rate,precipitation,week,pass_epa_game,season,weekday,surface,roof,div_game,spread_line,total_line,wind,temp,epa_rush_last3,pass_rate,epa_pass_last3,pass_rate_last3
2021_06_ARI_CLE,ARI,0.5151515151515151,noprecip,6,0.4555283380777556,2021.0,Sunday,grass ,outdoors,0.0,3.0,48.0,23.0,58.0,0.08732964405938266,0.48484848484848486,0.24801209256143233,0.5298831410718577
2021_09_ARI_SF,ARI,0.5671641791044776,lightrainsnow,9,0.563873450269778,2021.0,Sunday,grass,outdoors,1.0,5.5,44.5,8.0,57.0,0.042567088782335116,0.4328358208955224,0.2477820959340974,0.5329413538368762
2021_11_ARI_SEA,ARI,0.4025974025974026,noprecip,11,0.34292030546348623,2021.0,Sunday,fieldturf,outdoors,1.0,2.5,46.0,0.0,46.0,-0.14714319415802343,0.5974025974025974,-0.00491954852634872,0.563946988897707
2021_13_ARI_CHI,ARI,0.6730769230769231,noprecip,13,0.3945338906787119,2021.0,Sunday,grass ,outdoors,0.0,-7.5,43.5,8.0,34.0,-0.20308012611183715,0.32692307692307687,0.1033109213733693,0.5509599759106941
2022_15_ARI_DEN,ARI,0.3333333333333333,noprecip,15,-0.437540470675226,2022.0,Sunday,grass,outdoors,0.0,1.5,37.5,4.0,37.0,-0.0910065145382189,0.6666666666666667,-0.1575022025077062,0.6039604170919235
2021_05_NYJ_ATL,ATL,0.3783783783783784,noprecip,5,0.34048234730430105,2021.0,Sunday,grass,outdoors,0.0,-3.0,45.5,8.0,63.0,-0.26880706367058066,0.6216216216216216,0.07810333082619718,0.6555502506564813
2021_07_ATL_MIA,ATL,0.32786885245901637,noprecip,7,0.2726140481501164,2021.0,Sunday,grass ,outdoors,0.0,-1.5,48.5,9.0,85.0,-0.1251337476001549,0.6721311475409837,0.2537072037650026,0.6294241245303551
2021_12_ATL_JAX,ATL,0.47368421052631576,noprecip,12,0.16245908769584877,2021.0,Sunday,grass ,outdoors,0.0,-1.5,46.0,4.0,61.0,-0.3562659295882488,0.5263157894736843,-0.3037359445135519,0.607098561815543
2021_14_ATL_CAR,ATL,0.5396825396825397,noprecip,14,0.17935326962341397,2021.0,Sunday,grass ,outdoors,1.0,2.5,41.0,9.0,48.0,-0.10730467257359227,0.46031746031746035,-0.2131293945592013,0.628430049482681
2021_15_ATL_SF,ATL,0.39655172413793105,noprecip,15,-0.19773406760225665,2021.0,Sunday,grass,outdoors,0.0,9.5,48.0,0.0,46.0,0.020362409396718392,0.603448275862069,0.07146634264529385,0.5510999721526039
2021_17_ATL_BUF,ATL,0.44,rainsnow,17,-0.34685531273390485,2021.0,Sunday,a_turf,outdoors,0.0,14.0,46.5,11.0,26.0,-0.1624160774842339,0.56,0.06375210705669994,0.5591340332719644
2022_10_ATL_CAR,ATL,0.423728813559322,lightrainsnow,10,-0.2272090541741554,2022.0,Thursday,grass,outdoors,1.0,-2.5,41.5,12.0,61.0,0.044252669583312365,0.576271186440678,-0.027485101602611344,0.4089225589225589
2022_12_ATL_WAS,ATL,0.5272727272727272,rainsnow,12,-0.18154902927939306,2022.0,Sunday,grass,outdoors,0.0,3.5,40.5,9.0,46.0,0.07764527110661927,0.4727272727272728,-0.16817194508328273,0.4559792843691149
2022_16_ATL_BAL,ATL,0.4852941176470588,noprecip,16,-0.04635250617905132,2022.0,Saturday,grass,outdoors,0.0,6.5,35.0,9.0,17.0,0.20834004452963395,0.5147058823529411,-0.24879161365220404,0.4576656048354162
2021_04_BAL_DEN,BAL,0.42857142857142855,noprecip,4,0.2604627103405352,2021.0,Sunday,grass ,outdoors,0.0,1.0,44.0,11.0,77.0,-0.007067572876737177,0.5714285714285714,0.08266013954085369,0.5063025210084033
2021_05_IND_BAL,BAL,0.3561643835616438,noprecip,5,0.6909422985901645,2021.0,Monday,grass,outdoors,0.0,-7.5,46.5,6.0,69.0,0.012157300464838617,0.6438356164383562,0.14569719458374167,0.5301120448179272
2021_06_LAC_BAL,BAL,0.5454545454545454,noprecip,6,-0.11286009843451114,2021.0,Sunday,grass,outdoors,0.0,-3.0,50.5,15.0,63.0,-0.24194980465113045,0.4545454545454546,0.3898020207083661,0.6074690150032617
2021_07_CIN_BAL,BAL,0.3380281690140845,noprecip,7,-0.2883151330867829,2021.0,Sunday,grass,outdoors,1.0,-6.5,45.5,6.0,61.0,-0.11403152914942398,0.6619718309859155,0.27951497016539617,0.5566032141374607
2021_09_MIN_BAL,BAL,0.5056179775280899,noprecip,9,-0.0402043039511133,2021.0,Sunday,grass,outdoors,0.0,-7.5,51.0,8.0,56.0,-0.027797551215414513,0.4943820224719101,0.09658902235629015,0.5867843006565754
2021_10_BAL_MIA,BAL,0.3283582089552239,noprecip,10,-0.33415498752891015,2021.0,Thursday,grass ,outdoors,0.0,-8.5,46.5,4.0,77.0,0.19904762897535186,0.6716417910447761,-0.1471265118241358,0.5369664360010934
2021_11_BAL_CHI,BAL,0.4473684210526316,noprecip,11,-0.16524319629302883,2021.0,Sunday,grass ,outdoors,0.0,-5.0,43.0,9.0,46.0,0.08186636714737942,0.5526315789473684,-0.22089147485560212,0.6093318815008671
2021_12_CLE_BAL,BAL,0.5405405405405406,noprecip,12,-0.3222155105267969,2021.0,Sunday,grass,outdoors,1.0,-3.0,47.0,0.0,43.0,0.034946986866611976,0.45945945945945943,-0.17986749592435078,0.5728851308213515
